,Product code,Bureau of Meteorology station number,Daily global solar exposure (MJ/m*m),Date
11688,IDCJAC0016,86338,25.3,2022-01-01
11689,IDCJAC0016,86338,25.9,2022-01-02
11690,IDCJAC0016,86338,30.3,2022-01-03
11691,IDCJAC0016,86338,11.8,2022-01-04
11692,IDCJAC0016,86338,19.0,2022-01-05
11693,IDCJAC0016,86338,21.3,2022-01-06
11694,IDCJAC0016,86338,12.1,2022-01-07
11695,IDCJAC0016,86338,11.5,2022-01-08
11696,IDCJAC0016,86338,26.0,2022-01-09
11697,IDCJAC0016,86338,29.1,2022-01-10
11698,IDCJAC0016,86338,27.3,2022-01-11
11699,IDCJAC0016,86338,28.3,2022-01-12
11700,IDCJAC0016,86338,25.8,2022-01-13
11701,IDCJAC0016,86338,18.4,2022-01-14
11702,IDCJAC0016,86338,20.3,2022-01-15
11703,IDCJAC0016,86338,30.4,2022-01-16
11704,IDCJAC0016,86338,19.1,2022-01-17
11705,IDCJAC0016,86338,21.1,2022-01-18
11706,IDCJAC0016,86338,30.6,2022-01-19
11707,IDCJAC0016,86338,30.6,2022-01-20
11708,IDCJAC0016,86338,30.4,2022-01-21
11709,IDCJAC0016,86338,30.2,2022-01-22
11710,IDCJAC0016,86338,29.5,2022-01-23
11711,IDCJAC0016,86338,29.3,2022-01-24
11712,IDCJAC0016,86338,29.7,2022-01-25
11713,IDCJAC0016,86338,24.4,2022-01-26
11714,IDCJAC0016,86338,24.1,2022-01-27
11715,IDCJAC0016,86338,9.0,2022-01-28
11716,IDCJAC0016,86338,12.3,2022-01-29
11717,IDCJAC0016,86338,26.0,2022-01-30
11718,IDCJAC0016,86338,23.9,2022-01-31
11719,IDCJAC0016,86338,18.2,2022-02-01
11720,IDCJAC0016,86338,17.2,2022-02-02
11721,IDCJAC0016,86338,8.1,2022-02-03
11722,IDCJAC0016,86338,25.8,2022-02-04
11723,IDCJAC0016,86338,28.1,2022-02-05
11724,IDCJAC0016,86338,26.9,2022-02-06
11725,IDCJAC0016,86338,28.0,2022-02-07
11726,IDCJAC0016,86338,25.3,2022-02-08
11727,IDCJAC0016,86338,15.5,2022-02-09
11728,IDCJAC0016,86338,22.8,2022-02-10
11729,IDCJAC0016,86338,22.3,2022-02-11
11730,IDCJAC0016,86338,26.5,2022-02-12
11731,IDCJAC0016,86338,22.0,2022-02-13
11732,IDCJAC0016,86338,26.5,2022-02-14
11733,IDCJAC0016,86338,18.2,2022-02-15
11734,IDCJAC0016,86338,14.0,2022-02-16
11735,IDCJAC0016,86338,21.6,2022-02-17
11736,IDCJAC0016,86338,17.6,2022-02-18
11737,IDCJAC0016,86338,25.7,2022-02-19
11738,IDCJAC0016,86338,18.7,2022-02-20
11739,IDCJAC0016,86338,23.0,2022-02-21
11740,IDCJAC0016,86338,25.0,2022-02-22
11741,IDCJAC0016,86338,23.9,2022-02-23
11742,IDCJAC0016,86338,15.5,2022-02-24
11743,IDCJAC0016,86338,17.6,2022-02-25
11744,IDCJAC0016,86338,22.6,2022-02-26
11745,IDCJAC0016,86338,14.0,2022-02-27
11746,IDCJAC0016,86338,12.3,2022-02-28
11747,IDCJAC0016,86338,8.2,2022-03-01
11748,IDCJAC0016,86338,16.5,2022-03-02
11749,IDCJAC0016,86338,23.4,2022-03-03
11750,IDCJAC0016,86338,16.3,2022-03-04
11751,IDCJAC0016,86338,7.1,2022-03-05
11752,IDCJAC0016,86338,6.5,2022-03-06
11753,IDCJAC0016,86338,20.6,2022-03-07
11754,IDCJAC0016,86338,9.8,2022-03-08
11755,IDCJAC0016,86338,19.0,2022-03-09
11756,IDCJAC0016,86338,19.3,2022-03-10
11757,IDCJAC0016,86338,18.2,2022-03-11
11758,IDCJAC0016,86338,21.4,2022-03-12
11759,IDCJAC0016,86338,20.5,2022-03-13
11760,IDCJAC0016,86338,19.0,2022-03-14
11761,IDCJAC0016,86338,15.8,2022-03-15
11762,IDCJAC0016,86338,8.8,2022-03-16
11763,IDCJAC0016,86338,12.2,2022-03-17
11764,IDCJAC0016,86338,8.9,2022-03-18
11765,IDCJAC0016,86338,19.5,2022-03-19
11766,IDCJAC0016,86338,16.7,2022-03-20
11767,IDCJAC0016,86338,19.0,2022-03-21
11768,IDCJAC0016,86338,6.0,2022-03-22
11769,IDCJAC0016,86338,14.5,2022-03-23
11770,IDCJAC0016,86338,17.5,2022-03-24
11771,IDCJAC0016,86338,12.2,2022-03-25
11772,IDCJAC0016,86338,18.4,2022-03-26
11773,IDCJAC0016,86338,17.6,2022-03-27
11774,IDCJAC0016,86338,10.3,2022-03-28
11775,IDCJAC0016,86338,8.2,2022-03-29
11776,IDCJAC0016,86338,12.2,2022-03-30
11777,IDCJAC0016,86338,12.9,2022-03-31
11778,IDCJAC0016,86338,12.3,2022-04-01
11779,IDCJAC0016,86338,4.9,2022-04-02
11780,IDCJAC0016,86338,5.5,2022-04-03
11781,IDCJAC0016,86338,5.8,2022-04-04
11782,IDCJAC0016,86338,12.7,2022-04-05
11783,IDCJAC0016,86338,10.9,2022-04-06
11784,IDCJAC0016,86338,13.6,2022-04-07
11785,IDCJAC0016,86338,14.3,2022-04-08
11786,IDCJAC0016,86338,9.5,2022-04-09
